epoch,train_loss,train_acc,test_loss,test_acc,test_acc_class_0,test_acc_class_1
0,0.7511,58.8,0.6724,59.0,77.25,40.75
1,0.8383,66.1,0.6616,61.75,73.75,49.75
2,0.4161,67.2,0.6348,62.5,89.0,36.0
3,0.5688,68.3,0.6325,64.625,67.0,62.25
4,0.5668,68.1,0.6408,63.25,54.75,71.75
5,0.4967,71.2,0.9364,60.375,29.5,91.25
6,0.5909,71.5,0.6011,68.375,69.0,67.75
7,0.6485,73.4,0.9334,55.875,39.25,72.5
8,0.5794,73.2,0.6944,58.0,86.5,29.5
9,0.4077,73.6,0.7587,60.5,89.75,31.25
10,0.3821,74.7,0.6334,63.75,89.75,37.75
11,0.5182,74.7,0.6267,67.125,67.5,66.75
12,0.9314,75.5,0.8943,58.875,41.25,76.5
13,0.8075,74.9,0.6318,66.375,73.0,59.75
14,0.4593,76.8,0.6114,66.25,80.0,52.5
15,0.3063,78.7,0.6614,65.75,82.0,49.5
16,0.5395,81.0,0.6452,68.375,78.25,58.5
17,0.5778,77.3,0.6125,67.875,73.5,62.25
18,0.5357,81.1,0.6674,65.0,80.25,49.75
19,0.8758,83.4,0.6657,69.5,68.75,70.25
20,0.4647,84.6,0.7417,68.5,75.25,61.75
21,0.1481,86.0,0.7315,69.125,72.0,66.25
22,0.2522,85.7,1.1046,62.125,40.5,83.75
23,0.3759,88.5,0.7997,68.75,76.0,61.5
24,0.7286,87.3,0.7379,66.125,63.5,68.75
25,0.6738,89.3,0.7612,69.5,78.25,60.75
26,0.1863,89.1,0.7787,64.5,73.25,55.75
27,0.1792,90.9,1.0086,66.875,60.5,73.25
28,0.4454,87.9,0.8607,69.25,62.25,76.25
29,0.8816,90.5,0.8268,69.625,74.5,64.75
30,0.0774,91.1,0.8583,69.625,69.0,70.25
31,0.0593,94.3,1.0454,66.375,73.25,59.5
32,0.159,90.4,0.869,68.125,69.25,67.0
33,0.0597,95.1,0.888,66.625,72.0,61.25
34,0.1396,95.2,1.1585,64.5,78.0,51.0
35,0.154,84.6,0.9039,66.5,79.75,53.25
36,0.5324,91.2,0.8745,68.0,63.5,72.5
37,0.086,96.1,0.784,71.375,71.75,71.0
38,0.0319,97.4,0.8998,69.0,68.5,69.5
39,1.3013,96.4,1.0082,68.625,74.75,62.5
